userID,A1,A2,A3,A4,A5,FinalScore
100001,93.75,68.75,100.0,76.47,82.05,59.97
100002,112.5,125.0,100.0,88.24,92.31,77.81
100003,100.0,125.0,121.43,94.12,93.59,89.88
100004,116.67,125.0,75.0,52.94,57.69,73.3
100005,95.83,106.25,82.14,35.29,33.33,56.57
100006,70.83,8.33,96.43,47.06,33.33,44.06
100007,106.92,83.33,92.86,91.18,80.77,60.84
100008,77.08,100.0,92.86,50.0,88.46,67.17
100009,70.83,91.67,98.21,82.35,21.79,66.79
100010,108.33,108.33,101.79,85.29,106.41,84.66
100011,108.33,104.17,96.43,70.59,94.87,78.27
100012,108.33,106.25,89.29,85.29,80.77,72.26
100013,116.67,125.0,114.29,91.18,111.54,91.27
100014,91.67,70.83,71.43,70.59,57.69,56.47
100015,104.17,125.0,96.43,91.18,111.54,79.63
100016,108.33,79.17,110.71,85.29,91.03,82.14
100017,35.42,54.17,69.64,52.94,17.95,40.05
100018,56.25,83.33,87.5,70.59,85.9,56.17
100019,54.17,20.83,0.0,35.29,0.0,21.05
100020,54.17,95.83,85.71,32.35,85.9,57.91
100021,112.5,114.58,121.43,88.24,106.41,83.41
100022,104.17,104.17,91.07,91.18,100.0,65.99
100023,112.5,102.08,82.14,52.94,84.62,66.52
100024,108.33,116.67,82.14,76.47,97.44,78.56
100025,110.42,85.42,92.86,85.29,84.62,68.81
100026,79.17,100.0,80.36,79.41,83.33,68.38
100027,91.67,87.5,80.36,82.35,87.18,72.08
100028,83.33,116.67,100.0,44.12,67.95,68.67
100029,108.33,125.0,117.86,85.29,84.62,74.72
100030,116.67,108.33,92.86,91.18,110.26,92.05
100031,100.0,75.0,85.71,64.71,98.72,70.17
100032,116.67,108.33,39.29,79.41,78.21,65.16
100033,95.83,125.0,96.43,91.18,83.33,81.32
100034,104.17,91.67,100.0,85.29,83.33,81.03
100035,112.5,116.67,96.43,52.94,55.13,56.15
100036,108.33,116.67,85.71,64.71,57.69,58.35
100037,100.0,100.0,96.43,50.0,89.74,58.79
100038,104.17,100.0,110.71,91.18,88.46,81.68
100039,79.17,70.83,85.71,64.71,58.97,53.02
100040,87.5,79.17,67.86,0.0,69.23,57.18
100041,22.92,0.0,67.86,0.0,0.0,11.37
100042,104.17,125.0,121.43,85.29,110.26,86.66
100043,83.33,100.0,80.36,76.47,65.38,65.36
100044,83.33,104.17,117.86,97.06,105.13,81.33
100045,110.42,87.5,121.43,91.18,105.13,84.11
100046,95.83,106.25,82.14,61.76,103.85,64.03
100047,102.08,95.83,53.57,58.82,71.79,57.89
100048,112.5,91.67,85.71,55.88,73.08,63.68
100049,100.0,75.0,0.0,0.0,0.0,8.75
100050,25.0,100.0,100.0,58.82,71.79,75.02
100051,0.0,100.0,0.0,0.0,0.0,9.11
100052,100.0,85.42,85.71,88.24,111.54,82.75
100053,39.58,0.0,0.0,0.0,0.0,15.23
100054,116.67,125.0,100.0,100.0,110.26,95.81
